cell,pseudotime,celltype,UMAP_1,UMAP_2
86,20.5557678939554,Stressed Tumor (p53+),5.84982152312757,1.96628610761688
89,3.73711368903843,Tumor Epithelial,-4.216027483,-1.504419849
93,20.875852929982,Stressed Tumor (p53+),5.48504342168333,2.4252892133765
101,20.875852929982,Stressed Tumor (p53+),5.45962740510466,2.1249567714505
108,15.71905538,Stressed Tumor (p53+),7.32253153651716,1.75880674989746
110,18.3462258486049,Tumor Cells(Dedifferentiated),8.25100220769407,3.49529249938057
111,17.1600695369123,Tumor Cells(Dedifferentiated),9.1975248011923,1.69981695683525
112,2.93318482468288,Tumor Epithelial,-5.110510096,-1.26212816
114,3.24228239932574,Tumor Epithelial,-4.862579569,-0.988292739
116,1.44500914997212,Tumor Epithelial,-6.959942087,-0.519795701
119,18.8369166549688,Tumor Cells(Dedifferentiated),7.59064419597151,3.42918272288368
120,0,Tumor Epithelial,-7.716218218,-2.785580203
122,2.53097040060119,Tumor Epithelial,-5.522097811,-1.292599961
124,0,Tumor Epithelial,-7.785673365,-2.611672923
125,0.213454632919134,Tumor Epithelial,-7.426971659,-2.898521945
128,1.36424349230446,Tumor Epithelial,-6.922942385,-0.936774299
129,1.45839355569904,Tumor Epithelial,-6.702368959,-1.239466235
130,1.34606067556416,Tumor Epithelial,-6.501534685,-2.179562137
134,20.278116880692,Stressed Tumor (p53+),6.09511305421354,2.33554498078154
139,1.11919912719411,Tumor Epithelial,-6.903668627,-1.752239511
142,20.4112072139379,Stressed Tumor (p53+),5.89348544209959,3.25768192084358
145,2.42706021240518,Tumor Epithelial,-5.756481394,-0.834666059
149,2.72307550590349,Tumor Epithelial,-4.858376726,-3.046340511
153,18.6142229287246,Tumor Cells(Dedifferentiated),7.60645021527769,2.12746754260586
156,3.56842510741828,Stressed Tumor (p53+),-4.135798678,-2.476441428
160,0.618346405424933,Tumor Epithelial,-6.796766504,-3.383593127
161,3.19335148449221,Tumor Epithelial,-5.08481811,-0.334908054
162,18.3851330979083,Tumor Cells(Dedifferentiated),7.90270234673979,2.5276724544339
166,16.8836090523958,Tumor Cells(Dedifferentiated),8.90870787232878,1.35396261485146
167,16.7969011691503,Tumor Cells(Dedifferentiated),8.45988215535642,1.6346422580056
170,0.802633625118118,Tumor Epithelial,-7.048156008,-2.265946433
172,17.1801181289838,Tumor Cells(Dedifferentiated),8.92415429681303,1.81545002730415
175,18.4234847355932,Tumor Cells(Dedifferentiated),8.07220496266844,3.35312218936012
178,17.8504894756163,Tumor Cells(Dedifferentiated),8.70628692239286,2.85012520821617
180,20.3506898427156,Stressed Tumor (p53+),6.03316374152662,2.21177406767235
181,17.2989489261408,Tumor Cells(Dedifferentiated),9.66343952744963,1.97889818223045
182,0.499395952988299,Tumor Epithelial,-7.558727488,-1.812078044
184,16.5307400992762,Tumor Cells(Dedifferentiated),8.0926526936865,2.02884486289547
189,17.3661046432637,Tumor Cells(Dedifferentiated),9.52873016923429,2.15480039985703
191,17.2485998807954,Tumor Cells(Dedifferentiated),9.83240844338896,1.77179820807503
198,20.875852929982,Stressed Tumor (p53+),5.28912164300444,2.64755041869209
201,3.55717380400702,Tumor Epithelial,-4.095261797,-2.67563729
203,18.8043698632393,Tumor Cells(Dedifferentiated),7.58447666495802,3.13335867198036
207,2.61116255194767,Tumor Epithelial,-5.237527117,-2.042502925
210,19.5490041604076,Stressed Tumor (p53+),6.78388866066696,3.20463182004021
